Provincia,Año,Trimestre,Accesos por cada 100 hogares,Variacion Trimestral
Salta,2021,4,56.81,1.5189421015010751
Salta,2022,1,56.11,-1.232177433550441
San Juan,2014,1,27.6,
San Juan,2014,2,27.78,0.6521739130434856
San Juan,2014,3,27.85,0.2519798416126706
San Juan,2014,4,28.04,0.6822262118491906
San Juan,2015,1,27.55,-1.7475035663338079
San Juan,2015,2,27.64,0.32667876588021727
San Juan,2015,3,27.67,0.10853835021709113
San Juan,2015,4,27.66,-0.03614022406939199
San Juan,2016,1,27.33,-1.1930585683297301
San Juan,2016,2,27.34,0.03658982802781097
San Juan,2016,3,27.32,-0.0731528895391298
San Juan,2016,4,27.29,-0.10980966325037089
San Juan,2017,1,27.04,-0.9160864785635714
San Juan,2017,2,26.96,-0.2958579881656709
San Juan,2017,3,32.37,20.066765578635003
San Juan,2017,4,30.3,-6.394810009267826
San Juan,2018,1,32.61,7.623762376237608
San Juan,2018,2,32.95,1.0426249616682037
San Juan,2018,3,33.05,0.3034901365705389
San Juan,2018,4,31.9,-3.479576399394857
San Juan,2019,1,31.83,-0.21943573667712046
